time,SAP_flux,SAP_flux_err,PDCSAP_flux,PDCSAP_flux_err,sector
1791.0598159846163,7326.2275390625,16.009990692138672,8234.50390625,18.403907775878906,18
1791.0612048705912,7262.7177734375,16.002336502075195,8166.67529296875,18.395109176635742,18
1791.062593756566,7306.55908203125,15.986675262451172,8180.24853515625,18.377105712890625,18
1791.0639826425404,7284.32568359375,16.084243774414062,8167.56689453125,18.4892635345459,18
1791.0653715285152,7317.35009765625,16.016555786132812,8218.2431640625,18.411453247070312,18
1791.0667604140244,7283.47412109375,16.011686325073242,8175.01513671875,18.40585708618164,18
1791.0681492999984,7323.47216796875,16.038715362548828,8203.427734375,18.436925888061523,18
1791.0695381859734,7294.69384765625,15.998269081115723,8186.31640625,18.390432357788086,18
1791.0709270719485,7291.8134765625,16.001060485839844,8174.01904296875,18.39364242553711,18
1791.0723159579234,7283.8818359375,16.013731002807617,8191.49365234375,18.408205032348633,18
1791.0737048438982,7301.681640625,16.024423599243164,8201.1591796875,18.42049789428711,18
1791.0750937294065,7331.841796875,16.00916290283203,8221.921875,18.402956008911133,18
1791.0764826153809,7322.91552734375,16.01786231994629,8197.341796875,18.41295623779297,18
1791.0778715013557,7287.54345703125,15.9971342086792,8193.30078125,18.389127731323242,18
1791.0792603868656,7318.892578125,15.987997055053711,8196.3037109375,18.378623962402344,18
1791.0806492728407,7296.33837890625,16.01154136657715,8169.34521484375,18.40568733215332,18
1791.0820381588146,7304.4580078125,16.055866241455078,8186.46826171875,18.456640243530273,18
1791.083427044789,7306.13623046875,16.041452407836914,8197.4501953125,18.440074920654297,18
1791.0848159302973,7311.001953125,16.00579833984375,8188.34130859375,18.399089813232422,18
1791.086204816273,7304.3505859375,16.023658752441406,8178.9541015625,18.419618606567383,18
1791.087593701783,7285.76904296875,16.013017654418945,8186.4267578125,18.407386779785156,18
1791.088982587757,7291.1591796875,15.998064994812012,8190.734375,18.39019775390625,18
1791.0903714737315,7303.83837890625,16.018497467041016,8174.96435546875,18.413686752319336,18
1791.0917603592397,7298.7177734375,16.00094223022461,8189.458984375,18.39350700378418,18
1791.0931492452146,7271.69287109375,16.01556396484375,8170.97607421875,18.41031265258789,18
1791.0945381307238,7295.68408203125,16.01192283630371,8176.568359375,18.4061279296875,18
1791.0959270166986,7273.6708984375,16.06267738342285,8198.890625,18.46446990966797,18
1791.097315902208,7306.6220703125,16.030803680419922,8190.00634765625,18.427831649780273,18
1791.0987047881822,7288.4951171875,16.00179672241211,8176.93359375,18.394487380981445,18
